City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,3.78,98,92,0.79,GS,1696551157
1,moussoro,13.6408,16.4901,34.01,22,68,2.31,TD,1696551157
2,port-aux-francais,-49.35,70.2167,3.2,87,96,12.7,TF,1696550976
3,edinburgh of the seven seas,-37.0676,-12.3116,11.31,65,91,4.81,SH,1696551158
4,zhalantun,48.0,122.7167,8.5,58,8,2.4,CN,1696551159
5,puerto natales,-51.7236,-72.4875,3.25,81,20,7.72,CL,1696551160
6,tiksi,71.6872,128.8694,-6.42,91,96,3.03,RU,1696551161
7,iqaluit,63.7506,-68.5145,2.85,100,100,13.86,CA,1696551161
8,fort bragg,35.139,-79.006,25.46,73,100,1.54,US,1696551162
9,thompson,55.7435,-97.8558,6.09,100,100,4.63,CA,1696551163
10,ushuaia,-54.8,-68.3,0.24,66,82,4.92,AR,1696551163
11,baiyin,36.5583,104.2081,9.37,80,95,1.06,CN,1696551164
12,adamstown,-25.066,-130.1015,20.66,76,19,6.19,PN,1696551004
13,olonkinbyen,70.9221,-8.7187,0.98,73,88,6.8,SJ,1696551165
14,tuy hoa,13.0833,109.3,26.12,89,68,2.56,VN,1696551128
15,codrington,-38.2667,141.9667,11.86,60,93,4.75,AU,1696551166
16,avarua,-21.2078,-159.775,23.03,94,100,4.12,CK,1696550995
17,shizuishan,39.2333,106.7694,11.4,68,100,3.62,CN,1696550908
18,kodinsk,58.6881,99.1844,6.91,96,99,2.35,RU,1696551167
19,tomatlan,19.9333,-105.25,28.13,88,79,1.42,MX,1696551167
20,port elizabeth,-33.918,25.5701,18.39,96,100,4.47,ZA,1696551168
21,nar'yan-mar,67.6713,53.087,3.95,78,78,9.39,RU,1696550939
22,akureyri,65.6835,-18.0878,2.96,81,100,3.09,IS,1696551169
23,minas de marcona,-15.2119,-75.1103,14.45,85,35,4.55,PE,1696551102
24,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1696551170
25,enewetak,11.3474,162.3373,29.09,74,100,8.23,MH,1696551170
26,blackmans bay,-43.0167,147.3167,12.51,62,45,5.17,AU,1696551171
27,waitangi,-43.9535,-176.5597,13.79,81,84,3.13,NZ,1696551171
28,petropavlovsk-kamchatsky,53.0452,158.6483,9.32,73,75,4.02,RU,1696551171
29,iskateley,67.6803,53.1512,3.9,78,78,9.39,RU,1696551172
30,shangqiu,34.45,115.65,16.04,59,100,3.48,CN,1696551172
31,bethel,41.3712,-73.414,19.25,81,0,1.54,US,1696551173
32,yellowknife,62.456,-114.3525,3.09,88,100,5.36,CA,1696551173
33,happy valley-goose bay,53.3168,-60.3315,15.17,72,20,4.12,CA,1696551174
34,santa ana de yacuma,-13.75,-65.4333,32.76,41,87,4.07,BO,1696551174
35,prince george,53.9166,-122.753,11.69,82,100,3.09,CA,1696551175
36,hithadhoo,-0.6,73.0833,27.31,78,84,3.99,MV,1696551175
37,lushun,38.8,121.2667,18.12,44,97,4.13,CN,1696551175
38,hamilton,39.1834,-84.5333,19.12,95,100,3.09,US,1696551002
39,lebu,-37.6167,-73.65,9.5,82,66,2.58,CL,1696551140
40,cide,41.8921,33.0044,17.23,66,98,2.05,TR,1696551177
41,brisas de zicatela,15.8369,-97.0419,28.29,61,100,1.03,MX,1696551177
42,dakhla,23.6848,-15.958,22.63,71,82,5.51,EH,1696551177
43,portland,45.5234,-122.6762,28.59,61,0,3.13,US,1696551178
44,masterton,-40.9597,175.6575,13.82,49,45,1.78,NZ,1696551178
45,stanley,54.868,-1.6985,16.14,86,75,5.66,GB,1696551179
46,igarka,67.4667,86.5833,3.07,96,100,11.37,RU,1696551179
47,selfoss,63.9331,-20.9971,4.47,74,100,1.85,IS,1696551179
48,ribeira grande,38.5167,-28.7,21.54,96,100,14.31,PT,1696551180
49,uturoa,-16.7333,-151.4333,25.95,79,12,9.94,PF,1696551180
50,ancud,-41.8697,-73.8203,9.04,83,85,6.78,CL,1696551181
51,albany,42.6001,-73.9662,21.36,70,74,3.08,US,1696550591
52,flying fish cove,-10.4217,105.6791,24.82,94,100,4.12,CX,1696551054
53,saudarkrokur,65.7461,-19.6394,2.83,76,85,1.82,IS,1696551183
54,ishigaki,24.3448,124.1572,30.07,84,40,4.12,JP,1696551183
55,nemuro,43.3236,145.575,14.41,74,79,10.67,JP,1696550931
56,auki,-8.7676,160.7034,29.87,60,95,3.29,SB,1696551184
57,kavaratti,10.5669,72.642,27.12,71,42,3.39,IN,1696551165
58,marsa alam,25.0757,34.8918,28.63,53,7,4.99,EG,1696551185
59,port douglas,-16.4833,145.4667,25.45,72,85,2.27,AU,1696551185
60,vilyuchinsk,52.9306,158.4028,10.14,69,24,1.97,RU,1696551013
61,bilibino,68.0546,166.4372,-8.91,87,34,0.95,RU,1696551186
62,sinabang,2.4803,96.3801,25.91,80,90,2.79,ID,1696551187
63,edd,13.9297,41.6925,31.25,57,11,1.68,ER,1696551187
64,saldanha,-33.0117,17.9442,14.67,91,2,2.21,ZA,1696550990
65,yarmouth,41.7057,-70.2286,18.31,95,0,1.34,US,1696551188
66,westport,41.1415,-73.3579,19.95,86,0,2.68,US,1696551069
67,polyarnyy,69.1989,33.4478,1.75,90,51,11.55,RU,1696551189
68,waingapu,-9.6567,120.2641,28.22,68,26,2.91,ID,1696551190
69,kigoma,-4.8769,29.6267,25.63,60,44,0.8,TZ,1696551190
70,aasiaat,68.7098,-52.8699,-3.76,73,100,5.51,GL,1696551191
71,isafjordur,66.0755,-23.124,2.13,83,96,7.56,IS,1696551191
72,khandyga,62.6667,135.6,-1.12,82,100,2.29,RU,1696551192
